BRISONr,BLUE,Trait,n_obs_modelo,n_genotipos_modelo,singular,status_modelo,Condition,Year,Location,Treatment,Nitrogen,Fungicide,Water,Trait_abbrev
BRISONr_116,64.40880112273297,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_117,61.98949343432136,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_118,70.02021842317924,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_119,63.36357570150976,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_12,71.13037710729512,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_120,59.56359716393786,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_121,65.02763574726099,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_122,70.28244214859835,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_123,37.71849280996061,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_124,73.83387741464813,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_125,67.9068782558905,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_126,68.0686204597359,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_127,66.89562219866282,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_128,77.59027917749927,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_129,73.24186785557812,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_13,80.05159397865435,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_130,54.23729040760156,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_131,54.93433639323123,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_132,77.50919851496097,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_133,50.39265864873934,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_134,67.4550493782975,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_135,55.00190178422858,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_136,69.56481777899897,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_137,55.97106097467418,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_138,66.42300326616707,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_139,57.62245037107144,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_14,77.57190694095402,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_140,55.659800145346175,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_141,70.77058489204019,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_142,70.1403695427704,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_143,67.15889555737539,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_144,61.33357352896627,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_145,58.44004306498403,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_146,69.22148525618947,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_147,66.70725389032548,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_148,64.92176595732514,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_149,67.6507698517036,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_15,72.31926577626378,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_150,55.189687879008886,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_151,65.65133983048291,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_152,53.894165518303595,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_153,57.20439542779981,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_154,66.29308278452586,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_155,60.69699179585157,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_156,52.0760178992679,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_157,63.187358725636294,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_158,59.48301436496221,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_159,55.95433078170103,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_16,65.72179919032568,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_160,59.467150027073565,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_161,62.49077959077128,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_162,67.00854014124647,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_163,44.88368372808711,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_164,52.240586409346484,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_165,52.92439718464819,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_166,55.09203501409786,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_167,55.442036617493414,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_168,47.64497515537413,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_169,60.02829337226473,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_17,73.8558733161787,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_170,37.25877546900533,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_171,66.41820287149916,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_172,42.350756930206224,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_173,42.24365162001736,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_174,43.28336912570416,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_175,34.54460909811616,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_176,41.99261986236176,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_177,72.84043437562053,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_178,66.81022630162906,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_179,73.0480062590238,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_18,68.1798402391081,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_180,74.07822436184009,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_181,70.25170113178378,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_182,53.99933117830208,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_183,73.69494845475947,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_184,52.749882864658446,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_185,66.5065815499445,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_186,71.50952726835801,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_187,52.8410549705704,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_188,57.40380271733915,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_189,68.7201131523038,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_19,72.2433672847344,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_190,35.938373487524615,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_191,66.00593088622654,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_192,63.468138323324894,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_193,68.01663875032585,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_194,31.854926044275313,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_195,58.94683883928705,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_196,34.88383758371063,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_197,56.23822268160891,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_198,55.42642244583216,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_199,58.98533999164668,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_2,56.86104834467809,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_20,61.54853039914974,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_200,62.03238791071262,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_201,46.46134325192214,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_202,77.883776231809,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_203,52.55221575133372,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_204,71.67600993849962,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_205,60.652738854321335,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_206,27.86435137983096,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_207,65.1271387066712,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_208,68.12204692538914,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_209,56.90939286536168,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_21,80.5767257733009,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_210,37.266716387985234,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_211,53.79775912024866,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_212,52.62921813605947,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_213,61.09139205894552,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_214,68.87407379645688,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_215,64.35591104155856,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_216,78.74094062902539,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_217,78.60532270800111,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_218,78.689744212688,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_219,64.5559697556073,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_22,69.5221637836986,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_220,75.9321481203558,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_23,70.81520050750673,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_24,79.6464523542391,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_25,74.39341610729953,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_26,75.535948692216,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_27,57.33179128484973,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_28,50.06847854369498,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_29,86.65357951924554,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_3,68.15847490237937,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_30,61.429708018830986,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_31,78.04452024399156,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_32,77.06053645253552,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_33,80.05929785286101,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_34,55.160724206680804,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_35,79.43723168153451,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_36,73.41858714996958,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_37,65.05631040050568,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_38,66.14328515056746,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_39,64.51006322038607,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_4,80.72048011790092,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_40,63.65056036467778,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_41,73.89873787769069,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_42,73.764532633503,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_43,72.32016991313519,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_44,77.53325309163205,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_45,73.01093927787144,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_46,67.76910059250396,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_47,74.42487432274763,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_48,77.13674018379992,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_49,66.82214128687744,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_5,81.62792652713513,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_50,70.72926273078608,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_51,73.21889107842111,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
